109, 78, 104.059918, 30.4985, '109-78-3'
109, 78.5, 104.065127, 30.4985, '109-78-2'
109, 79, 104.070335, 30.498435, '109-79-3'
109, 79.5, 104.075543, 30.498435, '109-79-2'
109, 80, 104.080751, 30.498368, '109-80-3'
109.5, 67, 103.945335, 30.503674, '109-67-4'
109.5, 67.5, 103.950543, 30.503674, '109-67-1'
109.5, 68.5, 103.96096, 30.503618, '109-68-1'
109.5, 70, 103.976585, 30.503503, '109-70-4'
109.5, 72, 103.997418, 30.503385, '109-72-4'
109.5, 74, 104.018252, 30.503263, '109-74-4'
109.5, 74.5, 104.02346, 30.503263, '109-74-1'
109.5, 76, 104.039085, 30.503138, '109-76-4'
109.5, 76.5, 104.044293, 30.503138, '109-76-1'
109.5, 77.5, 104.05471, 30.503075, '109-77-1'
109.5, 78, 104.059918, 30.50301, '109-78-4'
109.5, 78.5, 104.065127, 30.50301, '109-78-1'
109.5, 79, 104.070335, 30.502945, '109-79-4'
109.5, 79.5, 104.075543, 30.502945, '109-79-1'
110, 35.5, 103.617237, 30.509542, '110-35-2'
110, 61.5, 103.888102, 30.508503, '110-61-2'
110, 62.5, 103.898519, 30.508452, '110-62-2'
110, 70, 103.976652, 30.508012, '110-70-3'
110, 76, 104.039158, 30.507648, '110-76-3'
110, 76.5, 104.044367, 30.507648, '110-76-2'
110, 77, 104.049575, 30.507584, '110-77-3'
110, 77.5, 104.054784, 30.507584, '110-77-2'
110, 78, 104.059993, 30.507519, '110-78-3'
110, 78.5, 104.065202, 30.507519, '110-78-2'
110, 79, 104.07041, 30.507454, '110-79-3'
110, 79.5, 104.075619, 30.507454, '110-79-2'
110, 91.5, 104.200629, 30.506605, '110-91-2'
110.5, 35.5, 103.617237, 30.514053, '110-35-1'
110.5, 69, 103.966234, 30.51258, '110-69-4'
110.5, 70, 103.976652, 30.512522, '110-70-4'
110.5, 74, 104.018322, 30.512283, '110-74-4'
110.5, 75.5, 104.033949, 30.512221, '110-75-1'
110.5, 76, 104.039158, 30.512158, '110-76-4'
110.5, 76.5, 104.044367, 30.512158, '110-76-1'
110.5, 77, 104.049575, 30.512094, '110-77-4'
110.5, 77.5, 104.054784, 30.512094, '110-77-1'
110.5, 78, 104.059993, 30.512029, '110-78-4'
110.5, 78.5, 104.065202, 30.512029, '110-78-1'
110.5, 79, 104.07041, 30.511964, '110-79-4'
110.5, 79.5, 104.075619, 30.511964, '110-79-1'
111, 47.5, 103.742297, 30.518153, '111-47-2'
111, 71, 103.987138, 30.516973, '111-71-3'
111, 71.5, 103.992347, 30.516973, '111-71-2'
111, 75, 104.028812, 30.51673, '111-75-3'
111, 75.5, 104.034021, 30.51673, '111-75-2'
111, 76, 104.039231, 30.516667, '111-76-3'
111, 76.5, 104.04444, 30.516667, '111-76-2'
111, 77, 104.049649, 30.516603, '111-77-3'
111, 77.5, 104.054858, 30.516603, '111-77-2'
111, 78, 104.060068, 30.516539, '111-78-3'
111, 78.5, 104.065277, 30.516539, '111-78-2'
111, 79, 104.070486, 30.516473, '111-79-3'
111, 86, 104.143416, 30.515992, '111-86-3'
111.5, 69, 103.966301, 30.5216, '111-69-4'
111.5, 70, 103.976719, 30.521542, '111-70-4'
111.5, 71, 103.987138, 30.521483, '111-71-4'
111.5, 71.5, 103.992347, 30.521483, '111-71-1'
111.5, 72, 103.997556, 30.521424, '111-72-4'
111.5, 73.5, 104.013184, 30.521363, '111-73-1'
111.5, 74.5, 104.023603, 30.521302, '111-74-1'
111.5, 75.5, 104.034021, 30.52124, '111-75-1'
111.5, 76, 104.039231, 30.521177, '111-76-4'
111.5, 76.5, 104.04444, 30.521177, '111-76-1'
111.5, 77, 104.049649, 30.521113, '111-77-4'
111.5, 77.5, 104.054859, 30.521113, '111-77-1'
111.5, 78, 104.060068, 30.521049, '111-78-4'
111.5, 78.5, 104.065277, 30.521049, '111-78-1'
111.5, 79, 104.070486, 30.520983, '111-79-4'
111.5, 91, 104.195507, 30.520134, '111-91-4'
111.5, 93, 104.216344, 30.51998, '111-93-4'
112, 60.5, 103.8778, 30.526593, '112-60-2'
112, 63.5, 103.909059, 30.526439, '112-63-2'
112, 69.5, 103.971576, 30.526109, '112-69-2'
112, 70, 103.976786, 30.526051, '112-70-3'
112, 70.5, 103.981996, 30.526051, '112-70-2'
112, 71.5, 103.992416, 30.525993, '112-71-2'
112, 72, 103.997625, 30.525933, '112-72-3'
112, 75, 104.028884, 30.525749, '112-75-3'
112, 75.5, 104.034094, 30.525749, '112-75-2'
112, 76, 104.039304, 30.525686, '112-76-3'
112, 76.5, 104.044513, 30.525686, '112-76-2'
112, 77, 104.049723, 30.525623, '112-77-3'
112, 77.5, 104.054933, 30.525623, '112-77-2'
112, 78, 104.060143, 30.525558, '112-78-3'
112, 78.5, 104.065352, 30.525558, '112-78-2'
112, 79, 104.070562, 30.525493, '112-79-3'
112, 79.5, 104.075772, 30.525493, '112-79-2'
112, 80, 104.080981, 30.525426, '112-80-3'
112, 80.5, 104.086191, 30.525426, '112-80-2'
112, 83, 104.11224, 30.525223, '112-83-3'
112, 83.5, 104.11745, 30.525223, '112-83-2'
112, 86, 104.143498, 30.525011, '112-86-3'
112, 89, 104.174756, 30.524793, '112-89-3'
112, 93.5, 104.221643, 30.524489, '112-93-2'
112, 99.5, 104.284158, 30.524009, '112-99-2'
112.5, 47.5, 103.742343, 30.531683, '112-47-1'
112.5, 60.5, 103.8778, 30.531103, '112-60-1'
112.5, 61, 103.88301, 30.531053, '112-61-4'
112.5, 62.5, 103.898639, 30.531001, '112-62-1'
112.5, 66, 103.935108, 30.530788, '112-66-4'
112.5, 69, 103.966367, 30.530619, '112-69-4'
112.5, 69.5, 103.971577, 30.530619, '112-69-1'
112.5, 70, 103.976786, 30.530561, '112-70-4'
112.5, 70.5, 103.981996, 30.530561, '112-70-1'
112.5, 71, 103.987206, 30.530503, '112-71-4'
112.5, 72, 103.997625, 30.530443, '112-72-4'
112.5, 75, 104.028884, 30.530259, '112-75-4'
112.5, 75.5, 104.034094, 30.530259, '112-75-1'
112.5, 76, 104.039304, 30.530196, '112-76-4'
112.5, 76.5, 104.044513, 30.530196, '112-76-1'
112.5, 77, 104.049723, 30.530133, '112-77-4'
112.5, 77.5, 104.054933, 30.530133, '112-77-1'
112.5, 78, 104.060142, 30.530068, '112-78-4'
112.5, 78.5, 104.065352, 30.530068, '112-78-1'
112.5, 79, 104.070562, 30.530003, '112-79-4'
112.5, 79.5, 104.075772, 30.530003, '112-79-1'
112.5, 80, 104.080981, 30.529937, '112-80-4'
112.5, 80.5, 104.086191, 30.529937, '112-80-1'
112.5, 81.5, 104.096611, 30.529869, '112-81-1'
112.5, 86, 104.143498, 30.529522, '112-86-4'
112.5, 86.5, 104.148708, 30.529522, '112-86-1'
112.5, 91, 104.195594, 30.529153, '112-91-4'
112.5, 92.5, 104.211224, 30.529077, '112-92-1'
112.5, 93.5, 104.221643, 30.528999, '112-93-1'
113, 60.5, 103.877858, 30.535613, '113-60-2'
113, 61, 103.883068, 30.535562, '113-61-3'
113, 68.5, 103.961223, 30.535186, '113-68-2'
113, 69, 103.966433, 30.535129, '113-69-3'
113, 69.5, 103.971643, 30.535129, '113-69-2'
113, 70, 103.976854, 30.535071, '113-70-3'
113, 70.5, 103.982064, 30.535071, '113-70-2'
113, 71, 103.987274, 30.535012, '113-71-3'
113, 75, 104.028956, 30.534769, '113-75-3'
113, 76.5, 104.044587, 30.534706, '113-76-2'
113, 77, 104.049797, 30.534642, '113-77-3'
113, 77.5, 104.055007, 30.534642, '113-77-2'
113, 78, 104.060217, 30.534577, '113-78-3'
113, 78.5, 104.065428, 30.534577, '113-78-2'
113, 79, 104.070638, 30.534512, '113-79-3'
113, 79.5, 104.075848, 30.534512, '113-79-2'
113, 80, 104.081058, 30.534446, '113-80-3'
113, 80.5, 104.086269, 30.534446, '113-80-2'
113, 81, 104.091479, 30.534379, '113-81-3'
113, 81.5, 104.096689, 30.534379, '113-81-2'
113, 85.5, 104.13837, 30.534102, '113-85-2'
113, 86, 104.14358, 30.534031, '113-86-3'
113, 92, 104.206102, 30.533585, '113-92-3'
113, 95, 104.237363, 30.533352, '113-95-3'
113, 95.5, 104.242573, 30.533352, '113-95-2'
113.5, 61, 103.883068, 30.540072, '113-61-4'
